text,label
"Government passes new budget amid economic concerns",politics
"Prime minister announces tax reforms for middle class",politics
"Senate votes on healthcare legislation today",politics
"Opposition party calls for early elections",politics
"Minister resigns over corruption scandal",politics
"Parliament debates immigration policy changes",politics
"President signs executive order on climate",politics
"Election results show major shift in voter preferences",politics
"City council approves new housing development plan",politics
"Trade negotiations between countries resume this week",politics
"Diplomatic talks aim to resolve border dispute",politics
"Central bank raises interest rates to curb inflation",politics
"National security agency warns of cyber threats",politics
"Supreme court rules on landmark privacy case",politics
"Lawmakers push for campaign finance reform",politics
"Scientists discover new exoplanet that could support life",tech
"Tech giant launches revolutionary AI assistant",tech
"New programming language promises faster performance",tech
"Cybersecurity breach exposes millions of user records",tech
"Startup raises $500 million in Series C funding",tech
"Open source project reaches one million contributors",tech
"Quantum computer solves problem in seconds not years",tech
"Social media platform introduces new privacy controls",tech
"Electric vehicle battery lasts 800 miles on single charge",tech
"Cloud computing costs drop as competition increases",tech
"Researchers develop self-healing material for electronics",tech
"5G rollout accelerates across major cities worldwide",tech
"Tech layoffs continue as companies restructure operations",tech
"New smartphone features foldable screen technology",tech
"Artificial intelligence detects cancer earlier than doctors",tech
"Team wins championship in thrilling overtime match",sport
"Record-breaking athlete sets new world marathon time",sport
"Transfer window drama as star player moves to rival club",sport
"Coach fired after team's worst season in a decade",sport
"Underdog team stuns favourites in cup final upset",sport
"Olympic committee announces new sports for 2028 games",sport
"Injury forces top tennis player to withdraw from tournament",sport
"Basketball team acquires MVP in blockbuster trade deal",sport
"Cricket world cup final draws record television audience",sport
"Formula one driver claims pole position at grand prix",sport
"Swimming star breaks three world records in one night",sport
"Rugby team completes unbeaten season with final victory",sport
"Golfer wins major tournament by record margin of strokes",sport
"Youth academy player earns first national team call up",sport
"Referee controversy mars final minutes of football match",sport
"Award-winning film sweeps major categories at ceremony",entertainment
"Pop star announces world tour with 50 concert dates",entertainment
"Streaming service drops most-watched series of the year",entertainment
"Celebrity couple confirms engagement after two years together",entertainment
"Video game sequel sells ten million copies in first week",entertainment
"Critically acclaimed novel tops bestseller list for months",entertainment
"Comedian's stand-up special breaks viewership records",entertainment
"Film studio announces superhero franchise reboot",entertainment
"Reality TV show returns with surprise celebrity cast",entertainment
"Music festival lineup revealed with legendary headliners",entertainment
"Actor wins lifetime achievement award at prestigious gala",entertainment
"Animated film surpasses box office expectations worldwide",entertainment
"Director reveals casting choices for highly anticipated sequel",entertainment
"Podcast becomes most downloaded show in platform history",entertainment
"Theatre production receives five-star reviews from critics",entertainment
